n_estimators,r2_score
10,0.9095170978629414
20,0.917101566595758
30,0.9187907593754847
40,0.919248790793424
50,0.9200017872565129
60,0.9196809553627089
70,0.919630151527377
80,0.918990851695102
90,0.9183095657174373
100,0.9183724919208605
110,0.9181042900735092
120,0.9183698764728102
130,0.9186369276823177
140,0.9188919328326215
150,0.9188142630280154
160,0.9185334395489383
170,0.9190440580818698
180,0.9189273351809069
190,0.9192430839474318
200,0.9193155504404901
